year,sector,share_of_total
1999,Cement,0.02770164037666665
1999,Coal,0.3546651992241977
1999,Flaring,0.013222523067790584
1999,Gas,0.1846448298440307
1999,Oil,0.4051969075646925
1999,Other industry,0.01456889992262188
2000,Cement,0.028150657809687417
2000,Coal,0.35892222960626124
2000,Flaring,0.01354590062623567
2000,Gas,0.18532137803676008
2000,Oil,0.4002756092335208
2000,Other industry,0.01378426388557121
2001,Cement,0.029219949998820695
2001,Coal,0.358402333336473
2001,Flaring,0.013002610750619412
2001,Gas,0.1857204730596987
2001,Oil,0.4002480209196328
2001,Other industry,0.013406611934755445
2002,Cement,0.029659019729885768
2002,Coal,0.36664992469921953
2002,Flaring,0.012301805284623853
2002,Gas,0.18707747535801186
2002,Oil,0.39098508254150377
2002,Other industry,0.013326692386755287
2003,Cement,0.03100728967028923
2003,Coal,0.3785007759281005
2003,Flaring,0.012419731591402805
2003,Gas,0.18429295000620374
2003,Oil,0.38118713292677375
2003,Other industry,0.012592119877230032
2004,Cement,0.03131524920479791
2004,Coal,0.37795817221118627
2004,Flaring,0.011934768455097012
2004,Gas,0.18377021227840326
2004,Oil,0.38184429282003723
2004,Other industry,0.013177339983263908
2005,Cement,0.03266250888418309
2005,Coal,0.3884766051337427
2005,Flaring,0.011708252768822787
2005,Gas,0.18163782223228112
2005,Oil,0.3726586459094446
2005,Other industry,0.012856165071525677
2006,Cement,0.034231836201898985
2006,Coal,0.3966848958585288
2006,Flaring,0.011328079954626622
2006,Gas,0.1807863803513822
2006,Oil,0.36421757988258674
2006,Other industry,0.012751227750976724
2007,Cement,0.03575319366273286
2007,Coal,0.40396036655595924
2007,Flaring,0.010865335993967603
2007,Gas,0.18211976181278694
2007,Oil,0.355065910128163
2007,Other industry,0.012235368352827125
2008,Cement,0.03548858240617841
2008,Coal,0.41029043677842447
2008,Flaring,0.01041153010671564
2008,Gas,0.1842609250768963
2008,Oil,0.34768980388559506
2008,Other industry,0.011858721746190131
2009,Cement,0.03714674832435895
2009,Coal,0.41262863653727316
2009,Flaring,0.010428580395388395
2009,Gas,0.18296199785904327
2009,Oil,0.3458760561588936
2009,Other industry,0.010957980725042676
2010,Cement,0.03757204284861199
2010,Coal,0.417742992367534
2010,Flaring,0.010197020968331761
2010,Gas,0.18626091282728277
2010,Oil,0.33776951763016333
2010,Other industry,0.010457543372177984
2011,Cement,0.03900079663600811
2011,Coal,0.4264567319454984
2011,Flaring,0.010332109164307135
2011,Gas,0.18530545892301356
2011,Oil,0.32802064780300966
2011,Other industry,0.010884284530493457
2012,Cement,0.039403933098160614
2012,Coal,0.42534444690667655
2012,Flaring,0.010701240066653062
2012,Gas,0.18661686854776238
2012,Oil,0.327072035507408
2012,Other industry,0.010861504481767764
2013,Cement,0.040858979323513955
2013,Coal,0.4238924282979106
2013,Flaring,0.010829429337149357
2013,Gas,0.18633488888422722
2013,Oil,0.32647365816017887
2013,Other industry,0.011610615997020056
2014,Cement,0.04208153823011223
2014,Coal,0.4233635630149078
2014,Flaring,0.010820935554766374
2014,Gas,0.18623562854189096
2014,Oil,0.3260004350683104
2014,Other industry,0.01149787139375106
2015,Cement,0.040692725332139926
2015,Coal,0.41394228885726553
2015,Flaring,0.010767119332489104
2015,Gas,0.19006549827648525
2015,Oil,0.33245337392514596
2015,Other industry,0.01207902252224757
2016,Cement,0.04170751297889923
2016,Coal,0.40468615226947646
2016,Flaring,0.010496701705023209
2016,Gas,0.19537430630021355
2016,Oil,0.33623373229924064
2016,Other industry,0.011501537938529474
2017,Cement,0.04169460187878623
2017,Coal,0.40289994534756446
2017,Flaring,0.010680088281154078
2017,Gas,0.19693375958582346
2017,Oil,0.33593949554809616
2017,Other industry,0.011852137155959083
2018,Cement,0.04210945803784417
2018,Coal,0.401880883989668
2018,Flaring,0.010999100451995376
2018,Gas,0.20197670256691863
2018,Oil,0.33056097015724173
2018,Other industry,0.012472857573598565
2019,Cement,0.04356636847962683
2019,Coal,0.3964496470231296
2019,Flaring,0.011658992639005725
2019,Gas,0.2042264037063987
2019,Oil,0.33235506355589783
2019,Other industry,0.011743524595941291
2020,Cement,0.046192655318541345
2020,Coal,0.40579503006835094
2020,Flaring,0.011377165460263499
2020,Gas,0.21391349905839968
2020,Oil,0.3109468821382646
2020,Other industry,0.011774739513337275
2021,Cement,0.04521363805756948
2021,Coal,0.4060353331391391
2021,Flaring,0.010909959982220349
2021,Gas,0.2137067642560204
2021,Oil,0.3122903622149788
2021,Other industry,0.011843942350071935
2022,Cement,0.04206855013752082
2022,Coal,0.41167316270006216
2022,Flaring,0.0106286882517649
2022,Gas,0.20674677391594753
2022,Oil,0.3174958450105739
2022,Other industry,0.011386953337199092
2023,Cement,0.040433780203774146
2023,Coal,0.41046771123429576
2023,Flaring,0.010798093633494732
2023,Gas,0.20483112856581054
2023,Oil,0.32231397148514496
2023,Other industry,0.011155419880785023
2024,Cement,0.038157312427416365
2024,Coal,0.40947762376116553
2024,Flaring,0.010770034067058119
2024,Gas,0.20751614217497857
2024,Oil,0.3230843374592711
2024,Other industry,0.010994601925490621
