year,sector,share_of_total
1863,Oil,0.003406800426838104
1863,Other industry,0.0
1864,Coal,0.9972919846163238
1864,Oil,0.002710457237042916
1864,Other industry,0.0
1865,Coal,0.996966777125958
1865,Oil,0.003035522512308814
1865,Other industry,0.0
1866,Coal,0.9956532098773679
1866,Oil,0.004346790122632034
1866,Other industry,0.0
1867,Coal,0.9958715844380571
1867,Oil,0.004128415561942872
1867,Other industry,0.0
1868,Coal,0.9953710257353982
1868,Oil,0.004626951995373048
1868,Other industry,0.0
1869,Coal,0.9950183999039507
1869,Oil,0.004981600096049214
1869,Other industry,0.0
1870,Coal,0.9941561917694259
1870,Oil,0.005843808230573954
1870,Other industry,0.0
1871,Coal,0.9942398517314668
1871,Oil,0.005760148268533128
1871,Other industry,0.0
1872,Coal,0.9941406838140551
1872,Oil,0.005860901069955195
1872,Other industry,0.0
1873,Coal,0.9915446994408376
1873,Oil,0.008455300559162493
1873,Other industry,0.0
1874,Coal,0.9900709761366202
1874,Oil,0.009929023863379686
1874,Other industry,0.0
1875,Coal,0.9914337902761627
1875,Oil,0.008566209723837379
1875,Other industry,0.0
1876,Coal,0.9905369810725141
1876,Oil,0.009461570875622482
1876,Other industry,0.0
1877,Coal,0.9874693373748106
1877,Oil,0.012530662625189443
1877,Other industry,0.0
1878,Coal,0.985854998943141
1878,Oil,0.014145001056859017
1878,Other industry,0.0
1879,Coal,0.9833428534576478
1879,Oil,0.01665846268857085
1879,Other industry,0.0
1880,Cement,0.00020041294387971494
1880,Coal,0.981901079899514
1880,Oil,0.017897341965072217
1880,Other industry,0.0
1881,Cement,0.00023418860965149807
1881,Coal,0.9803563044587035
1881,Oil,0.019409506931645074
1881,Other industry,0.0
1882,Cement,0.00028779800417413697
1882,Coal,0.9793520920783066
1882,Gas,0.00017587655810641706
1882,Oil,0.020184233359412808
1882,Other industry,0.0
1883,Cement,0.00034874561813156527
1883,Coal,0.9827370919024875
1883,Gas,0.0003818163232992137
1883,Oil,0.016533348298662542
1883,Other industry,0.0
1884,Cement,0.0003297806809921546
1884,Coal,0.9803676509910256
1884,Gas,0.0011606695439123277
1884,Oil,0.01814189878406991
1884,Other industry,0.0
1885,Cement,0.00033907000468801134
1885,Coal,0.9773796080350745
1885,Gas,0.0036511451229448177
1885,Oil,0.018630176837292588
1885,Other industry,0.0
1886,Cement,0.00036205683130571825
1886,Coal,0.9710838568152357
1886,Gas,0.007430877639312015
1886,Oil,0.021124176780540318
1886,Other industry,0.0
1887,Cement,0.000512781257291685
1887,Coal,0.9669615773741728
1887,Gas,0.010870778200894049
1887,Oil,0.021653940899193293
1887,Other industry,0.0
1888,Cement,0.00045032971460250284
1888,Coal,0.9651281650021393
1888,Gas,0.013962718359967437
1888,Oil,0.020458786923290784
1888,Other industry,0.0
1889,Cement,0.00048415353823066004
1889,Coal,0.9657157735891749
1889,Gas,0.010171383697502201
1889,Oil,0.023628689175092213
1889,Other industry,0.0
1890,Cement,0.0005086995268711919
1890,Coal,0.9640460353947774
1890,Gas,0.008940872285820287
1890,Oil,0.026504392792530914
1890,Other industry,0.0
1891,Cement,0.0004994166171387517
1891,Coal,0.9631570723672201
1891,Gas,0.0065325737917257464
1891,Oil,0.02981093722391534
1891,Other industry,0.0
1892,Cement,0.0005273314133061361
1892,Coal,0.964718775895739
1892,Gas,0.0056318705198560555
1892,Oil,0.02912202217109876
1892,Other industry,0.0
1893,Cement,0.00048782992708226356
1893,Coal,0.9629564694317698
1893,Gas,0.005346322569286521
1893,Oil,0.03120937807186138
1893,Other industry,0.0
1894,Cement,0.0004921305144286294
1894,Coal,0.9652392993477676
1894,Gas,0.00474286357646469
1894,Oil,0.029525706561338936
1894,Other industry,0.0
1895,Cement,0.00048530579612878383
1895,Coal,0.9623620621886624
1895,Gas,0.004707332529392419
1895,Oil,0.032444631020532584
1895,Other industry,0.0
1896,Cement,0.0005118247035978495
1896,Coal,0.9610424400385389
1896,Gas,0.004431068988922975
1896,Oil,0.034014666268940265
1896,Other industry,0.0
1897,Cement,0.0005647535691004416
1897,Coal,0.9606229590244716
1897,Gas,0.0045031991374223385
1897,Oil,0.034309706161313146
1897,Other industry,0.0
1898,Cement,0.000589935247723008
1898,Coal,0.9609623384634851
1898,Gas,0.004956159082161518
1898,Oil,0.033491567206630234
1898,Other industry,0.0
1899,Cement,0.0006919027002441505
1899,Coal,0.9612641759599747
1899,Gas,0.005848455072451331
1899,Oil,0.032195466267329755
1899,Other industry,0.0
1900,Cement,0.000710688965827833
1900,Coal,0.9591218839218212
1900,Gas,0.005880123328734658
1900,Oil,0.03428781323807214
1900,Other industry,0.0
1901,Cement,0.0008224609849389917
1901,Coal,0.9559287292632211
1901,Gas,0.006349142093217511
1901,Oil,0.036900161332683
1901,Other industry,0.0
1902,Cement,0.0010390205666369436
1902,Coal,0.9534621821550383
1902,Gas,0.006594265839045217
1902,Oil,0.038904531439279404
1902,Other industry,0.0
1903,Cement,0.0011251474879360166
1903,Coal,0.9546774871588347
1903,Gas,0.006415283636081025
1903,Oil,0.037781640136501406
1903,Other industry,0.0
1904,Cement,0.0012003030230258202
1904,Coal,0.9494287753983727
1904,Gas,0.006621533410035126
1904,Oil,0.041948603976413104
1904,Other industry,0.0008007841921532755
1905,Cement,0.0014390075109472333
1905,Coal,0.9509651634801857
1905,Gas,0.007035238884670843
1905,Oil,0.03974889482830043
1905,Other industry,0.0008112855557162648
1906,Cement,0.0017642364900756302
1906,Coal,0.9515378320252273
1906,Gas,0.007464560306130535
1906,Oil,0.03839891909620248
1906,Other industry,0.0008344520823639905
1907,Cement,0.001593831767786629
1907,Coal,0.9497512692993921
1907,Gas,0.006842460917558277
1907,Oil,0.04110571304349921
1907,Other industry,0.000707069211886336
1908,Cement,0.0017287875014110905
1908,Coal,0.9444118126645153
1908,Gas,0.007051331442322681
1908,Oil,0.046150813773677204
1908,Other industry,0.0006572546180737853
1909,Cement,0.0020845430103828126
1909,Coal,0.9427992454367082
1909,Gas,0.008091535517035463
1909,Oil,0.04621700161534884
1909,Other industry,0.0008073304365294491
1910,Cement,0.002322087236126078
1910,Coal,0.9415006460077506
1910,Gas,0.008168121345204183
1910,Oil,0.047239706085324164
1910,Other industry,0.000769439325594791
1911,Cement,0.0023434016518753833
1911,Coal,0.9392798091958335
1911,Gas,0.00830361031729555
1911,Oil,0.0493396146915592
1911,Other industry,0.0007342098865203391
1912,Cement,0.0023445502345011216
1912,Coal,0.9399332314872266
1912,Gas,0.008701787900104766
1912,Oil,0.04829884118553294
1912,Other industry,0.0007212818718539955
1913,Cement,0.0024159920745473705
1913,Coal,0.9368789444985681
1913,Gas,0.00839696259070609
1913,Oil,0.05162126231897791
1913,Other industry,0.0006868385172004677
1914,Cement,0.002536470956141037
1914,Coal,0.9291614416386522
1914,Gas,0.009424126338831992
1914,Oil,0.05816683605660229
1914,Other industry,0.0007111250097724962
1915,Cement,0.0025142700310130366
1915,Coal,0.9238365187636336
1915,Gas,0.010122517853223174
1915,Oil,0.06275764120493095
1915,Other industry,0.0007690521471993128
1916,Cement,0.0024824776662298337
1916,Coal,0.9221444301447667
1916,Gas,0.011286582797879675
1916,Oil,0.06328832856110994
1916,Other industry,0.000798180830013952
1917,Cement,0.0023925214093972755
1917,Coal,0.9182125455398694
1917,Gas,0.011390133949144933
1917,Oil,0.06730354767427181
1917,Other industry,0.0007012514273165831
1918,Cement,0.0018593388351965227
1918,Coal,0.9172330391305401
1918,Gas,0.010415891229105969
1918,Oil,0.06988507124042914
1918,Other industry,0.0006066595647281796
1919,Cement,0.002432990816191309
1919,Coal,0.894460350536136
1919,Gas,0.0124783261917594
1919,Oil,0.08990491310253845
1919,Other industry,0.0007237481803537061
1920,Cement,0.002557264972687734
1920,Coal,0.8832336460508442
1920,Gas,0.011752986812181718
1920,Oil,0.10179408913717823
1920,Other industry,0.0006617310794815998
1921,Cement,0.002869989476705252
1921,Coal,0.8578199508570481
1921,Gas,0.01123340847526512
1921,Oil,0.12753475608620754
1921,Other industry,0.0005415740768682059
1922,Cement,0.0032002773900463655
1922,Coal,0.8495174313730716
1922,Gas,0.01228498519167205
1922,Oil,0.1342560473082353
1922,Other industry,0.0007415650422379642
1923,Cement,0.003377535379460307
1923,Coal,0.8505855798926059
1923,Gas,0.014184730418288327
1923,Oil,0.13111923426328304
1923,Other industry,0.0007329200463624589
1924,Cement,0.003654864734753211
1924,Coal,0.8492547245894467
1924,Gas,0.016067465649195953
1924,Oil,0.13029234881434865
1924,Other industry,0.0007303271160447808
1925,Cement,0.003857368525594465
1925,Coal,0.8430864508760951
1925,Gas,0.01708881892449754
1925,Oil,0.13514397162191533
1925,Other industry,0.0008236573863300676
1926,Cement,0.004008259080379191
1926,Coal,0.8386463614171615
1926,Gas,0.01880265088960781
1926,Oil,0.13772476095248637
