year,sector,delta_mtco2,delta_total,contribution_share
1783,Coal,0.4819999999999993,0.4819999999999993,1.0
1783,Other industry,0.0,0.4819999999999993,0.0
1784,Coal,0.40800000000000125,0.40800000000000125,1.0
1784,Other industry,0.0,0.40800000000000125,0.0
1785,Coal,0.4939999999999998,0.4939999999999998,1.0
1785,Other industry,0.0,0.4939999999999998,0.0
1786,Coal,0.4819999999999993,0.4819999999999993,1.0
1786,Other industry,0.0,0.4819999999999993,0.0
1787,Coal,0.4120000000000026,0.4120000000000026,1.0
1787,Other industry,0.0,0.4120000000000026,0.0
1788,Coal,0.4269999999999996,0.4269999999999996,1.0
1788,Other industry,0.0,0.4269999999999996,0.0
1789,Coal,0.5769999999999982,0.5769999999999982,1.0
1789,Other industry,0.0,0.5769999999999982,0.0
1790,Coal,0.5350000000000001,0.5350000000000001,1.0
1790,Other industry,0.0,0.5350000000000001,0.0
1791,Coal,0.5339999999999989,0.5339999999999989,1.0
1791,Other industry,0.0,0.5339999999999989,0.0
1792,Coal,0.9969999999999999,0.9969999999999999,1.0
1792,Other industry,0.0,0.9969999999999999,0.0
1793,Coal,0.3680000000000021,0.3680000000000021,1.0
1793,Other industry,0.0,0.3680000000000021,0.0
1794,Coal,0.22299999999999898,0.22299999999999898,1.0
1794,Other industry,0.0,0.22299999999999898,0.0
1795,Coal,-0.2049999999999983,-0.2049999999999983,1.0
1795,Other industry,0.0,-0.2049999999999983,-0.0
1796,Coal,-0.19400000000000261,-0.19400000000000261,1.0
1796,Other industry,0.0,-0.19400000000000261,-0.0
1797,Coal,-0.030999999999998806,-0.030999999999998806,1.0
1797,Other industry,0.0,-0.030999999999998806,-0.0
1798,Coal,1.0160000000000018,1.0160000000000018,1.0
1798,Other industry,0.0,1.0160000000000018,0.0
1799,Coal,4.378999999999998,4.378999999999998,1.0
1799,Other industry,0.0,4.378999999999998,0.0
1800,Coal,5.313000000000002,5.313000000000002,1.0
1800,Other industry,0.0,5.313000000000002,0.0
1801,Coal,-0.8120000000000012,-0.8120000000000012,1.0
1801,Other industry,0.0,-0.8120000000000012,-0.0
1802,Coal,8.324000000000002,8.324000000000002,1.0
1802,Other industry,0.0,8.324000000000002,0.0
1803,Coal,-10.771,-10.771,1.0
1803,Other industry,0.0,-10.771,-0.0
1804,Coal,2.229999999999997,2.229999999999997,1.0
1804,Other industry,0.0,2.229999999999997,0.0
1805,Coal,-0.5169999999999995,-0.5169999999999995,1.0
1805,Other industry,0.0,-0.5169999999999995,-0.0
1806,Coal,1.4529999999999994,1.4529999999999994,1.0
1806,Other industry,0.0,1.4529999999999994,0.0
1807,Coal,3.496000000000002,3.496000000000002,1.0
1807,Other industry,0.0,3.496000000000002,0.0
1808,Coal,-0.703000000000003,-0.703000000000003,1.0
1808,Other industry,0.0,-0.703000000000003,-0.0
1809,Coal,0.8360000000000056,0.8360000000000056,1.0
1809,Other industry,0.0,0.8360000000000056,0.0
1810,Coal,3.157999999999994,3.157999999999994,1.0
1810,Other industry,0.0,3.157999999999994,0.0
1811,Coal,0.6850000000000023,0.6850000000000023,1.0
1811,Other industry,0.0,0.6850000000000023,0.0
1812,Coal,0.6379999999999981,0.6379999999999981,1.0
1812,Other industry,0.0,0.6379999999999981,0.0
1813,Coal,0.39100000000000534,0.39100000000000534,1.0
1813,Other industry,0.0,0.39100000000000534,0.0
1814,Coal,1.0209999999999937,1.0209999999999937,1.0
1814,Other industry,0.0,1.0209999999999937,0.0
1815,Coal,1.3600000000000065,1.3600000000000065,1.0
1815,Other industry,0.0,1.3600000000000065,0.0
1816,Coal,1.9099999999999966,1.9099999999999966,1.0
1816,Other industry,0.0,1.9099999999999966,0.0
1817,Coal,3.7790000000000035,3.7790000000000035,1.0
1817,Other industry,0.0,3.7790000000000035,0.0
1818,Coal,2.1159999999999997,2.1159999999999997,1.0
1818,Other industry,0.0,2.1159999999999997,0.0
1819,Coal,-0.4620000000000033,-0.4620000000000033,1.0
1819,Other industry,0.0,-0.4620000000000033,-0.0
1820,Coal,-0.19700000000000273,-0.19700000000000273,1.0
1820,Other industry,0.0,-0.19700000000000273,-0.0
1821,Coal,1.3260000000000005,1.3260000000000005,1.0
1821,Other industry,0.0,1.3260000000000005,0.0
1822,Coal,1.963000000000001,1.963000000000001,1.0
1822,Other industry,0.0,1.963000000000001,0.0
1823,Coal,2.3359999999999985,2.3359999999999985,1.0
1823,Other industry,0.0,2.3359999999999985,0.0
1824,Coal,1.2260000000000062,1.2260000000000062,1.0
1824,Other industry,0.0,1.2260000000000062,0.0
1825,Coal,3.1469999999999985,3.1469999999999985,1.0
1825,Other industry,0.0,3.1469999999999985,0.0
1826,Coal,0.6509999999999962,0.6509999999999962,1.0
1826,Other industry,0.0,0.6509999999999962,0.0
1827,Coal,4.357000000000006,4.357000000000006,1.0
1827,Other industry,0.0,4.357000000000006,0.0
1828,Coal,0.9429999999999978,0.9429999999999978,1.0
1828,Other industry,0.0,0.9429999999999978,0.0
1829,Coal,-0.375,-0.375,1.0
1829,Other industry,0.0,-0.375,-0.0
1830,Coal,22.680999999999997,22.680999999999997,1.0
1830,Other industry,0.0,22.680999999999997,0.0
1831,Coal,-5.736999999999995,-5.736999999999995,1.0
1831,Other industry,0.0,-5.736999999999995,-0.0
1832,Coal,-1.159000000000006,-1.159000000000006,1.0
1832,Other industry,0.0,-1.159000000000006,-0.0
1833,Coal,1.1569999999999965,1.1569999999999965,1.0
1833,Other industry,0.0,1.1569999999999965,0.0
1834,Coal,5.51400000000001,5.51400000000001,1.0
1834,Other industry,0.0,5.51400000000001,0.0
1835,Coal,8.637,8.637,1.0
1835,Other industry,0.0,8.637,0.0
1836,Coal,9.494,9.494,1.0
1836,Other industry,0.0,9.494,0.0
1837,Coal,-0.6950000000000074,-0.6950000000000074,1.0
1837,Other industry,0.0,-0.6950000000000074,-0.0
1838,Coal,-0.3539999999999992,-0.3539999999999992,1.0
1838,Other industry,0.0,-0.3539999999999992,-0.0
1839,Coal,3.808000000000007,3.808000000000007,1.0
1839,Other industry,0.0,3.808000000000007,0.0
1840,Coal,9.155999999999992,9.155999999999992,1.0
1840,Other industry,0.0,9.155999999999992,0.0
1841,Coal,3.3569999999999993,3.3569999999999993,1.0
1841,Other industry,0.0,3.3569999999999993,0.0
1842,Coal,7.223000000000013,7.223000000000013,1.0
1842,Other industry,0.0,7.223000000000013,0.0
1843,Coal,2.9799999999999898,2.9799999999999898,1.0
1843,Other industry,0.0,2.9799999999999898,0.0
1844,Coal,9.597000000000008,9.597000000000008,1.0
1844,Other industry,0.0,9.597000000000008,0.0
1845,Coal,13.107,13.107,1.0
1845,Other industry,0.0,13.107,0.0
1846,Coal,2.6289999999999907,2.6289999999999907,1.0
1846,Other industry,0.0,2.6289999999999907,0.0
1847,Coal,13.094999999999999,13.094999999999999,1.0
1847,Other industry,0.0,13.094999999999999,0.0
1848,Coal,2.8460000000000036,2.8460000000000036,1.0
1848,Other industry,0.0,2.8460000000000036,0.0
1849,Coal,11.405000000000001,11.405000000000001,1.0
1849,Other industry,0.0,11.405000000000001,0.0
1850,Coal,11.800000000000011,11.800000000000011,1.0
1850,Other industry,0.0,11.800000000000011,0.0
1851,Coal,1.9309999999999832,1.9309999999999832,1.0
1851,Other industry,0.0,1.9309999999999832,0.0
1852,Coal,8.816000000000003,8.816000000000003,1.0
1852,Other industry,0.0,8.816000000000003,0.0
1853,Coal,9.641999999999996,9.641999999999996,1.0
1853,Other industry,0.0,9.641999999999996,0.0
1854,Coal,37.80199999999999,37.80199999999999,1.0
1854,Other industry,0.0,37.80199999999999,0.0
1855,Coal,5.184000000000026,5.221000000000004,0.992913235012454
1855,Oil,,5.221000000000004,
1855,Other industry,0.0,5.221000000000004,0.0
1856,Coal,17.98199999999997,17.98599999999999,0.9997776048037352
1856,Oil,0.0030000000000000027,17.98599999999999,0.00016679639719782076
1856,Other industry,0.0,17.98599999999999,0.0
1857,Coal,2.9250000000000114,2.9350000000000023,0.9965928449744494
1857,Oil,0.010999999999999996,2.9350000000000023,0.0037478705281090248
1857,Other industry,0.0,2.9350000000000023,0.0
1858,Coal,4.3559999999999945,4.367000000000019,0.997481108312337
1858,Oil,0.011000000000000003,4.367000000000019,0.0025188916876574207
1858,Other industry,0.0,4.367000000000019,0.0
1859,Coal,17.031000000000006,17.024,1.0004111842105265
1859,Oil,-0.006999999999999999,17.024,-0.0004111842105263157
1859,Other industry,0.0,17.024,0.0
1860,Coal,29.50799999999998,29.726,0.9926663526878821
1860,Oil,0.21800000000000003,29.726,0.007333647312117339
1860,Other industry,0.0,29.726,0.0
1861,Coal,16.224000000000046,16.891999999999996,0.9604546530902232
1861,Oil,0.6679999999999999,16.891999999999996,0.03954534690977978
1861,Other industry,0.0,16.891999999999996,0.0
1862,Coal,6.342999999999961,6.800999999999988,0.9326569622114355
1862,Oil,0.4580000000000001,6.800999999999988,0.06734303778856064
1862,Other industry,0.0,6.800999999999988,0.0
1863,Coal,23.650000000000034,23.54400000000004,1.0045022086306488
1863,Oil,-0.1060000000000001,23.54400000000004,-0.004502208630648994
1863,Other industry,0.0,23.54400000000004,0.0
1864,Coal,30.173999999999978,29.989999999999952,1.0061353784594873
1864,Oil,-0.18299999999999983,29.989999999999952,-0.006102034011337116
1864,Other industry,0.0,29.989999999999952,0.0
1865,Coal,25.115999999999985,25.326000000000022,0.9917081260364828
1865,Oil,0.20999999999999996,25.326000000000022,0.008291873963515746
1865,Other industry,0.0,25.326000000000022,0.0
1866,Coal,13.583000000000027,14.216000000000008,0.9554727068092304
1866,Oil,0.6319999999999999,14.216000000000008,0.04445694991558804
1866,Other industry,0.0,14.216000000000008,0.0
1867,Coal,31.714,31.747000000000014,0.9989605317037825
1867,Oil,0.03300000000000014,31.747000000000014,0.0010394682962169693
1867,Other industry,0.0,31.747000000000014,0.0
1868,Coal,13.375999999999976,13.680000000000007,0.9777777777777755
1868,Oil,0.3029999999999997,13.680000000000007,0.022149122807017512
1868,Other industry,0.0,13.680000000000007,0.0
1869,Coal,29.911999999999978,30.236999999999966,0.9892515791910577
1869,Oil,0.32600000000000007,30.236999999999966,0.010781492872970217
1869,Other industry,0.0,30.236999999999966,0.0
1870,Coal,10.873000000000047,11.392000000000053,0.9544417134831458
1870,Oil,0.5190000000000001,11.392000000000053,0.04555828651685373
1870,Other industry,0.0,11.392000000000053,0.0
1871,Coal,33.504999999999995,33.653999999999996,0.9955725916681524
1871,Oil,0.14900000000000002,33.653999999999996,0.004427408331847627
1871,Other industry,0.0,33.653999999999996,0.0
1872,Coal,60.769000000000005,61.18399999999997,0.9932171809623437
1872,Oil,0.4159999999999999,61.18399999999997,0.00679916317991632
1872,Other industry,0.0,61.18399999999997,0.0
1873,Coal,37.53399999999999,39.50599999999997,0.9500835316154513
1873,Oil,1.9709999999999996,39.50599999999997,0.04989115577380654
1873,Other industry,0.0,39.50599999999997,0.0
1874,Coal,-42.37800000000004,-41.80499999999995,1.0137064944384666
1874,Oil,0.5730000000000004,-41.80499999999995,-0.013706494438464325
1874,Other industry,0.0,-41.80499999999995,-0.0
1875,Coal,52.794000000000096,52.38599999999997,1.0077883403962915
1875,Oil,-0.40800000000000036,52.38599999999997,-0.0077883403962890965
1875,Other industry,0.0,52.38599999999997,0.0
1876,Coal,8.833999999999946,9.534999999999968,0.9264813843733588
1876,Oil,0.7000000000000002,9.534999999999968,0.07341373885684348
1876,Other industry,0.0,9.534999999999968,0.0
1877,Coal,11.163000000000011,13.450000000000045,0.8299628252788084
1877,Oil,2.2879999999999994,13.450000000000045,0.17011152416356815
1877,Other industry,0.0,13.450000000000045,0.0
1878,Coal,4.400999999999954,5.616999999999962,0.783514331493677
1878,Oil,1.216000000000001,5.616999999999962,0.21648566850632175
1878,Other industry,0.0,5.616999999999962,0.0
1879,Coal,47.52600000000007,50.144000000000005,0.9477903637523943
1879,Oil,2.6189999999999998,50.144000000000005,0.0522295788130185
1879,Other industry,0.0,50.144000000000005,0.0
1880,Cement,,98.43399999999997,
1880,Coal,95.55700000000002,98.43399999999997,0.9707722941260138
1880,Oil,2.7029999999999994,98.43399999999997,0.027460023975455636
1880,Other industry,0.0,98.43399999999997,0.0
1881,Cement,0.036000000000000004,29.94500000000005,0.0012022040407413572
1881,Coal,28.03099999999995,29.94500000000005,0.9360828185005812
1881,Oil,1.8790000000000013,29.94500000000005,0.06274837201536143
1881,Other industry,0.0,29.94500000000005,0.0
1882,Cement,0.06200000000000003,49.985000000000014,0.0012403721116334902
1882,Coal,48.061000000000035,49.985000000000014,0.9615084525357612
1882,Gas,,49.985000000000014,
1882,Oil,1.6969999999999992,49.985000000000014,0.03395018505551663
1882,Other industry,0.0,49.985000000000014,0.0
1883,Cement,0.07799999999999996,59.70399999999995,0.0013064451293045695
1883,Coal,61.84899999999993,59.70399999999995,1.0359272410558753
1883,Gas,0.216,59.70399999999995,0.003617848050381887
1883,Oil,-2.437999999999999,59.70399999999995,-0.04083478493903257
1883,Other industry,0.0,59.70399999999995,0.0
1884,Cement,-0.014999999999999958,11.899999999999977,-0.001260504201680671
1884,Coal,9.302000000000021,11.899999999999977,0.7816806722689108
1884,Gas,0.7909999999999999,11.899999999999977,0.06647058823529424
1884,Oil,1.820999999999998,11.899999999999977,0.15302521008403375
1884,Other industry,0.0,11.899999999999977,0.0
1885,Cement,0.011999999999999955,7.727000000000089,0.0015529959880936737
1885,Coal,4.534999999999968,7.727000000000089,0.5869030671670656
1885,Gas,2.543,7.727000000000089,0.32910573314351893
1885,Oil,0.6370000000000005,7.727000000000089,0.08243820370130621
1885,Other industry,0.0,7.727000000000089,0.0
1886,Cement,0.029000000000000026,15.498000000000047,0.001871209188282355
1886,Coal,8.644000000000005,15.498000000000047,0.5577493870176784
1886,Gas,3.9610000000000003,15.498000000000047,0.2555813653374621
1886,Oil,2.865000000000002,15.498000000000047,0.18486256291134295
1886,Other industry,0.0,15.498000000000047,0.0
1887,Cement,0.18200000000000005,51.29599999999982,0.00354803493449783
1887,Coal,45.343000000000075,51.29599999999982,0.8839480661260183
1887,Gas,4.111000000000001,51.29599999999982,0.0801427011852779
1887,Oil,1.6579999999999977,51.29599999999982,0.03232220835932633
