year,emissions_mtco2,sector,emissions_smoothed
1947,4.548,Other industry,4.2984
1948,4.841,Other industry,4.5038
1949,4.181,Other industry,4.8118
1950,4.988,Other industry,4.9732
1951,5.501,Other industry,5.296
1952,5.355,Other industry,5.604
1953,6.455,Other industry,6.0
1954,5.721,Other industry,6.3082
1955,6.968,Other industry,6.6015999999999995
1956,7.042,Other industry,6.5428
1957,6.822,Other industry,7.056399999999999
1958,6.161,Other industry,11.1642
1959,8.289,Other industry,15.5996
1960,27.507,Other industry,20.2906
1961,29.219,Other industry,25.4086
1962,30.277,Other industry,30.7468
1963,31.751,Other industry,32.1518
1964,34.98,Other industry,33.5522
1965,34.532,Other industry,34.9368
1966,36.221,Other industry,36.3052
1967,37.2,Other industry,37.6508
1968,38.593,Other industry,39.6144
1969,41.708,Other industry,41.3024
1970,44.35,Other industry,43.476800000000004
1971,44.661,Other industry,46.083600000000004
1972,48.072,Other industry,48.2196
1973,51.627,Other industry,48.78339999999999
1974,52.388,Other industry,49.8546
1975,47.169,Other industry,50.1786
1976,50.017,Other industry,50.068400000000004
1977,49.692,Other industry,50.083600000000004
1978,51.076,Other industry,50.290200000000006
1979,52.464,Other industry,49.6212
1980,48.202,Other industry,48.754999999999995
1981,46.672,Other industry,48.2598
1982,45.361,Other industry,48.273399999999995
1983,48.6,Other industry,49.7404
1984,52.532,Other industry,52.391
1985,55.537,Other industry,58.2528
1986,59.925,Other industry,66.4232
1987,74.67,Other industry,73.3216
1988,89.452,Other industry,129.4992
1989,87.024,Other industry,186.842
1990,336.425,Other industry,239.4106
1991,346.639,Other industry,285.06239999999997
1992,337.513,Other industry,332.61199999999997
1993,317.711,Other industry,331.90279999999996
1994,324.772,Other industry,328.709
1995,332.879,Other industry,330.4352
1996,330.67,Other industry,336.824
1997,346.144,Other industry,344.2414
1998,349.655,Other industry,347.99699999999996
1999,361.859,Other industry,350.75419999999997
2000,351.657,Other industry,351.53139999999996
2001,344.456,Other industry,351.24159999999995
2002,350.03,Other industry,354.2706
2003,348.206,Other industry,360.045
2004,377.004,Other industry,369.1764
2005,380.529,Other industry,376.2514
2006,390.113,Other industry,382.6238
2007,385.405,Other industry,376.28679999999997
2008,380.068,Other industry,369.8652
2009,345.319,Other industry,366.90060000000005
2010,348.421,Other industry,365.7518
2011,375.29,Other industry,371.653
2012,379.661,Other industry,384.1452
2013,409.574,Other industry,399.989
2014,407.78,Other industry,406.3454
2015,427.64,Other industry,415.6884
2016,407.072,Other industry,425.40919999999994
2017,426.376,Other industry,430.95860000000005
2018,458.178,Other industry,428.2264
2019,435.527,Other industry,434.1418
2020,413.979,Other industry,434.332
2021,436.649,Other industry,427.68739999999997
2022,427.327,Other industry,425.4572
2023,424.955,Other industry,428.32675000000006
2024,424.376,Other industry,425.5526666666667
