period,effect_population,effect_affluence,effect_intensity,delta_co2
1990–2024,12783.008752946787,,,15866.433
2000–2019,7289.094363297484,14758.243289665086,-10472.253652962576,11575.083999999999
2019–2024,1661.6460402754528,,,1512.0120000000024
