year,scenario,sector,value,emissions_index
2040,STEPS,Power sector inputs,10750.54,84.10015786566868
2041,STEPS,Power sector inputs,10520.351,82.29941750853868
2042,STEPS,Power sector inputs,10290.162,80.49867715140866
2043,STEPS,Power sector inputs,10059.973,78.69793679427866
2044,STEPS,Power sector inputs,9829.784,76.89719643714865
2045,STEPS,Power sector inputs,9599.595,75.09645608001864
2046,STEPS,Power sector inputs,9369.406,73.29571572288864
2047,STEPS,Power sector inputs,9139.217,71.49497536575863
2048,STEPS,Power sector inputs,8909.028,69.69423500862864
2049,STEPS,Power sector inputs,8678.839,67.89349465149861
2050,STEPS,Power sector inputs,8448.65,66.09275429436862
2020,NZE,Total energy supply,35158.23,100.0
2021,NZE,Total energy supply,36866.863,104.85983793837175
2022,NZE,Total energy supply,37527.773,106.73965384491765
2023,NZE,Total energy supply,38094.039,108.35027531249439
2024,NZE,Total energy supply,36386.700749999996,103.49412001116096
2025,NZE,Total energy supply,34679.362499999996,98.63796470982751
2026,NZE,Total energy supply,32972.024249999995,93.78180940849408
2027,NZE,Total energy supply,31264.685999999998,88.92565410716067
2028,NZE,Total energy supply,29557.347749999997,84.06949880582724
2029,NZE,Total energy supply,27850.0095,79.21334350449382
2030,NZE,Total energy supply,26142.67125,74.35718820316039
2031,NZE,Total energy supply,24435.333,69.50103290182696
2032,NZE,Total energy supply,22727.994749999998,64.64487760049353
2033,NZE,Total energy supply,21020.656499999997,59.7887222991601
2034,NZE,Total energy supply,19313.31825,54.93256699782668
2035,NZE,Total energy supply,17605.98,50.07641169649325
2036,NZE,Total energy supply,15712.144,44.689803781362144
2037,NZE,Total energy supply,13818.307999999999,39.30319586623103
2038,NZE,Total energy supply,11924.472,33.91658795109993
2039,NZE,Total energy supply,10030.635999999999,28.529980035968812
2040,NZE,Total energy supply,8136.8,23.143372120837707
2041,NZE,Total energy supply,7323.12,20.829034908753936
2042,NZE,Total energy supply,6509.4400000000005,18.51469769667017
2043,NZE,Total energy supply,5695.76,16.200360484586398
2044,NZE,Total energy supply,4882.08,13.886023272502623
2045,NZE,Total energy supply,4068.3999999999996,11.571686060418852
2046,NZE,Total energy supply,3254.72,9.257348848335083
2047,NZE,Total energy supply,2441.04,6.9430116362513115
2048,NZE,Total energy supply,1627.3599999999997,4.62867442416754
2049,NZE,Total energy supply,813.6799999999996,2.3143372120837697
2050,NZE,Total energy supply,0.0,0.0
2020,STEPS,Total energy supply,35158.23,100.0
2021,STEPS,Total energy supply,36866.863,104.85983793837175
2022,STEPS,Total energy supply,37527.773,106.73965384491765
2023,STEPS,Total energy supply,38094.039,108.35027531249439
2024,STEPS,Total energy supply,37856.50575,107.67466322963355
2025,STEPS,Total energy supply,37618.972499999996,106.99905114677273
2026,STEPS,Total energy supply,37381.439249999996,106.3234390639119
2027,STEPS,Total energy supply,37143.905999999995,105.64782698105107
2028,STEPS,Total energy supply,36906.372749999995,104.97221489819024
2029,STEPS,Total energy supply,36668.839499999995,104.29660281532942
2030,STEPS,Total energy supply,36431.30625,103.6209907324686
2031,STEPS,Total energy supply,36193.773,102.94537864960778
2032,STEPS,Total energy supply,35956.23975,102.26976656674695
2033,STEPS,Total energy supply,35718.7065,101.59415448388613
2034,STEPS,Total energy supply,35481.17325,100.91854240102529
2035,STEPS,Total energy supply,35243.64,100.24293031816447
2036,STEPS,Total energy supply,34747.62,98.83210844231918
2037,STEPS,Total energy supply,34251.6,97.4212865664739
2038,STEPS,Total energy supply,33755.58,96.01046469062862
2039,STEPS,Total energy supply,33259.56,94.59964281478332
2040,STEPS,Total energy supply,32763.54,93.18882093893805
2041,STEPS,Total energy supply,32450.095,92.29729426083166
2042,STEPS,Total energy supply,32136.65,91.40576758272529
2043,STEPS,Total energy supply,31823.205,90.51424090461892
2044,STEPS,Total energy supply,31509.760000000002,89.62271422651253
2045,STEPS,Total energy supply,31196.315000000002,88.73118754840617
2046,STEPS,Total energy supply,30882.87,87.83966087029978
2047,STEPS,Total energy supply,30569.425,86.9481341921934
2048,STEPS,Total energy supply,30255.98,86.05660751408702
2049,STEPS,Total energy supply,29942.535,85.16508083598065
2050,STEPS,Total energy supply,29629.09,84.27355415787426
2035,NZE,Transport,5245.28,100.0
2036,NZE,Transport,4847.12,92.40917548729524
2037,NZE,Transport,4448.96,84.8183509745905
2038,NZE,Transport,4050.7999999999997,77.22752646188573
2039,NZE,Transport,3652.64,69.63670194918097
2040,NZE,Transport,3254.48,62.045877436476225
2041,NZE,Transport,3018.305,57.543257938565716
2042,NZE,Transport,2782.13,53.04063844065522
2043,NZE,Transport,2545.955,48.53801894274471
2044,NZE,Transport,2309.7799999999997,44.03539944483421
2045,NZE,Transport,2073.605,39.53277994692371
2046,NZE,Transport,1837.4299999999998,35.03016044901321
2047,NZE,Transport,1601.2549999999999,30.527540951102704
2048,NZE,Transport,1365.08,26.024921453192203
2049,NZE,Transport,1128.905,21.5223019552817
2050,NZE,Transport,892.73,17.0196824573712
2035,STEPS,Transport,8450.85,100.0
2036,STEPS,Transport,8400.94,99.40940852103634
2037,STEPS,Transport,8351.03,98.8188170420727
2038,STEPS,Transport,8301.119999999999,98.22822556310902
2039,STEPS,Transport,8251.21,97.63763408414536
2040,STEPS,Transport,8201.3,97.04704260518172
2041,STEPS,Transport,8180.021999999999,96.79525728181187
2042,STEPS,Transport,8158.744,96.54347195844204
2043,STEPS,Transport,8137.465999999999,96.29168663507221
2044,STEPS,Transport,8116.188,96.03990131170237
2045,STEPS,Transport,8094.91,95.78811598833254
2046,STEPS,Transport,8073.632,95.53633066496269
2047,STEPS,Transport,8052.354,95.28454534159285
2048,STEPS,Transport,8031.076,95.03276001822302
2049,STEPS,Transport,8009.798000000001,94.78097469485319
2050,STEPS,Transport,7988.52,94.52918937148334
