iso_code,country,cluster,pca1,pca2
AFG,Afghanistan,1,0.5856258886697244,-0.632798803345895
AGO,Angola,0,-0.4702195574670746,-1.1865660929467612
ALB,Albania,1,0.14556479119820462,-0.6407002310445388
ARE,United Arab Emirates,3,-3.651715707841399,1.2306303591400083
ARG,Argentina,0,-0.6309542067451426,-0.6513634738630399
ARM,Armenia,1,1.0053449029183852,-0.31550819637051997
AUS,Australia,0,-2.5708518014158894,0.4640410293412783
AUT,Austria,0,-1.5409721958940603,-0.6398517499434379
AZE,Azerbaijan,1,0.16721658359928074,-0.5129703662252217
BDI,Burundi,2,2.469088334121665,-0.2749251498972232
BEL,Belgium,0,-1.7272323808057268,-0.4719803288647864
BEN,Benin,1,0.4827193419438884,-0.831004448713253
BFA,Burkina Faso,2,2.6519579061341383,-0.041361959167086404
BGD,Bangladesh,1,1.4905556386672252,-0.8379292165858572
BGR,Bulgaria,0,-0.7210261183714787,0.610301083319696
BHR,Bahrain,3,-2.3559501343167177,2.774951231449056
BIH,Bosnia and Herzegovina,0,-0.539665843791143,1.0575616966969212
BLR,Belarus,0,-0.9172771730044081,-0.11034861969739684
BOL,Bolivia,1,0.7406605747244481,0.029466658960246115
BRA,Brazil,1,-0.2078886445929457,-0.9781240069780406
BRB,Barbados,0,-0.9675599191882039,0.08429056549086382
BWA,Botswana,1,1.0488581919796047,0.24237425429995316
CAF,Central African Republic,2,3.399823703364189,0.6973531336480828
CAN,Canada,0,-2.2712430855187424,0.522082210236649
CHE,Switzerland,0,-1.9666105971197458,-1.3633291815002337
CHL,Chile,0,-0.3665128502085625,-0.4962968065418396
CHN,China,0,-0.5547322417390663,0.9117047153819561
CIV,Cote d'Ivoire,1,1.76036438934527,-0.2564109416934342
CMR,Cameroon,1,0.42190051901516296,-1.2185394400310423
COD,Democratic Republic of Congo,1,2.052321725999259,0.03744894023515678
COG,Congo,1,1.0004038405015523,-0.11117338440797103
COL,Colombia,1,0.37530560461984713,-0.7668350440395598
COM,Comoros,2,3.1929845410808038,0.667126345973909
CPV,Cape Verde,1,0.5895806398832236,-0.659417513872231
CRI,Costa Rica,1,0.11849079133531333,-1.1223176200786507
CUB,Cuba,0,-0.7542276999491194,-0.6273927431938752
CYP,Cyprus,0,-0.9950418996662445,-0.507424712013683
CZE,Czechia,0,-1.7374857425552526,0.08353625936923383
DEU,Germany,0,-2.012040282262522,-0.5495012232678096
DJI,Djibouti,1,1.5863862425747235,0.25590861084134403
DMA,Dominica,1,0.053842350416195596,-0.49147620704780653
DNK,Denmark,0,-2.1141816498686525,-1.0890084818373726
DOM,Dominican Republic,1,0.7050663977360261,-0.5731887106343587
DZA,Algeria,1,0.28199337331121244,-0.16489003870586758
ECU,Ecuador,1,0.027291164091374612,-0.40522118169399834
EGY,Egypt,1,0.07442831326692195,-0.7388982953979737
ESP,Spain,0,-1.157886583118137,-0.7555968746668636
EST,Estonia,0,-2.390290007547244,1.2427812558327314
ETH,Ethiopia,2,2.229369459609258,-0.6039296103201847
FIN,Finland,0,-2.230497595960676,-0.6454401980886094
FRA,France,0,-1.3825519523780345,-1.0595584009935453
GAB,Gabon,0,-0.47279189594556664,-1.0819524642760943
GBR,United Kingdom,0,-2.017138134762075,-1.1224254176376092
GEO,Georgia,1,1.0109579869052976,-0.2655149024866147
GHA,Ghana,1,1.7414474249403067,-0.35707356822031183
GIN,Guinea,2,2.3201494177120856,0.9045540318403031
GMB,Gambia,1,1.4220911753848013,-0.6129091929433652
GNB,Guinea-Bissau,2,2.9416026956270827,-0.18041560578124802
GNQ,Equatorial Guinea,0,-0.5875617128730845,0.015538745370326856
GRC,Greece,0,-1.8598845209614356,-0.5285415433072461
GTM,Guatemala,1,1.3740244272271325,-0.5977435929743934
HKG,Hong Kong,0,-1.5737563611236667,-0.952241771007578
HND,Honduras,1,0.6169703092232962,-0.46306636089063
HRV,Croatia,0,-0.6723712104079993,-0.7549745477960401
HTI,Haiti,1,1.0998474647905596,-0.6063189403719051
HUN,Hungary,0,-0.6695714257664855,-0.6574080824489048
IDN,Indonesia,1,0.8404229419543511,-0.3220819575273469
IND,India,1,0.8444386506054768,-0.18736520813720225
IRL,Ireland,0,-1.7635170173074044,-0.685665856235333
IRN,Iran,0,-0.4969472889110709,0.7890881446155961
IRQ,Iraq,1,0.5236237432751523,0.4080591838816028
ISL,Iceland,0,-1.723352522860765,-0.2219483271769015
ISR,Israel,0,-1.5306998127168452,-0.38072461373434896
ITA,Italy,0,-1.34686785990819,-0.7903414682284858
JAM,Jamaica,1,-0.04853905878918329,0.452262715983369
JOR,Jordan,0,-0.5532234176962508,-0.6360934862158997
