iso_code,country,start_year,end_year,years_used,emissions_per_capita_level,emissions_per_capita_trend_log,emissions_total_trend_log,volatility_yoy_pct_co2pc,intensity_level_co2_per_gdp,income_level_gdp_per_capita,cluster
AFG,Afghanistan,2010,2023,14,0.2802857142857143,-0.01922515539250741,0.0101572567376628,12.011971025376011,0.15946153846153846,1784.9544053984791,1
AGO,Angola,2010,2023,14,0.8015714285714285,-0.05499918014092145,-0.019932810855068192,9.644535402645857,0.1493846153846154,5411.48206451402,0
ALB,Albania,2010,2023,14,1.7325000000000002,-0.005226576160998857,-0.007773956223938927,10.243215309938128,0.16607692307692307,10613.14774175475,1
ARE,United Arab Emirates,2010,2023,14,24.003285714285717,-0.02738069303830008,0.0034916858803950386,5.031498686776961,0.3189230769230769,76389.50296731561,3
ARG,Argentina,2010,2023,14,4.236142857142857,-0.013033589656454828,-0.005172481565696544,5.253090537898448,0.22553846153846152,18898.70494257973,0
ARM,Armenia,2010,2023,14,2.054214285714286,0.03717744308814372,0.036332727668594814,7.0672536165834074,0.19061538461538463,10594.753864175396,1
AUS,Australia,2010,2023,14,16.460928571428575,-0.016732384149811656,-0.0026550769727707304,1.51566634374575,0.348,47877.580819279116,0
AUT,Austria,2010,2023,14,7.584428571428572,-0.01781052505854401,-0.010873328185569506,4.4755033019459844,0.18292307692307694,42051.684306139075,0
AZE,Azerbaijan,2010,2023,14,3.5746428571428566,0.01576217405193849,0.025322342880240333,4.10904610338154,0.21723076923076926,16255.15284051298,1
BDI,Burundi,2010,2023,14,0.047785714285714286,0.051059184105372524,0.07970318594466227,11.888150113300275,0.0669230769230769,692.7300427133703,2
BEL,Belgium,2010,2023,14,8.718714285714286,-0.020747753525010557,-0.0158132063543549,4.13152520998065,0.22461538461538463,39443.340579175376,0
BEN,Benin,2010,2023,14,0.44135714285714284,-0.003962500109972534,0.02425086425896139,4.624996007779926,0.22199999999999998,2021.3891210628449,1
BFA,Burkina Faso,2010,2023,14,0.21399999999999997,0.07067445040979933,0.09802927764564877,8.49931153990797,0.14053846153846153,1466.1362391114044,2
BGD,Bangladesh,2010,2023,14,0.49650000000000005,0.045226839605807256,0.054109363498775424,3.6519675099522435,0.13084615384615386,3747.112131292631,1
BGR,Bulgaria,2010,2023,14,6.267285714285714,-0.01160947606108595,-0.018559540422146463,11.780921354183588,0.38276923076923075,16814.669996110493,0
BHR,Bahrain,2010,2023,14,23.747714285714288,0.003818514045962747,0.025708863965439588,6.23662592240633,0.6376923076923078,37180.575277742704,3
BIH,Bosnia and Herzegovina,2010,2023,14,6.1195,0.00917346514275411,-0.004499718804497302,7.678777003257645,0.538,11527.674510093853,0
BLR,Belarus,2010,2023,14,6.439857142857143,-0.004062566062988607,-0.006673455774765316,3.564076917045144,0.3459230769230769,18705.866348145384,0
BOL,Bolivia,2010,2023,14,1.7899285714285715,0.0165532807271021,0.03073137596404191,8.340089710099528,0.29338461538461535,6041.897519884674,1
BRA,Brazil,2010,2023,14,2.4138571428571427,-0.008194306742747274,-0.001384445601286137,5.500138788797368,0.1625384615384615,14900.690041856842,1
BRB,Barbados,2010,2023,14,5.031142857142858,-0.019758428471507637,-0.017746457789936748,5.691716702555424,0.41515384615384626,12178.700142637685,0
BWA,Botswana,2010,2023,14,2.7630714285714286,0.023542809622405646,0.03836599289004054,13.686240920270892,0.19161538461538463,14308.796569811015,1
CAF,Central African Republic,2010,2023,14,0.051642857142857136,0.07791382249542997,0.08925218421159105,21.021148919024967,0.0663076923076923,768.6908575161023,2
CAN,Canada,2010,2023,14,15.233571428571427,-0.013592318077688032,-0.0027828901116140415,2.940734454906232,0.3528461538461538,43543.69887093949,0
CHE,Switzerland,2010,2023,14,4.5935,-0.03238503987416161,-0.022862920703596232,4.460378291057067,0.07707692307692307,60828.53819971603,0
CHL,Chile,2010,2023,14,4.419071428571429,-0.003916806854571659,0.007422650789624898,6.146370974769173,0.2112307692307692,21123.968726097493,0
CHN,China,2010,2023,14,7.366214285714286,0.01601502184289466,0.020325137184767954,2.874082986294181,0.5371538461538462,14044.950653749316,0
CIV,Cote d'Ivoire,2010,2023,14,0.396,0.029346059652520587,0.05513061964658719,12.146259902371444,0.12023076923076927,3274.590177229982,1
CMR,Cameroon,2010,2023,14,0.3868571428571429,-0.010657348323657572,0.01778067167665903,5.00049327326558,0.1366153846153846,2865.641106019303,1
COD,Democratic Republic of Congo,2010,2023,14,0.045142857142857144,0.013235768914113733,0.046637767503017555,20.785120545030498,0.05415384615384617,815.9181969487183,1
COG,Congo,2010,2023,14,1.2018571428571427,0.01613867092064515,0.040771704783165885,8.836545448604143,0.24684615384615388,5028.305881108178,1
COL,Colombia,2010,2023,14,1.8324285714285715,0.0038757154192829396,0.01629268403283358,7.506353315554278,0.1447692307692308,12745.49485880441,1
COM,Comoros,2010,2023,14,0.3689285714285714,0.0908897975276294,0.11106420914303833,12.342664564281206,0.18707692307692309,1823.728145565978,2
CPV,Cape Verde,2010,2023,14,1.075142857142857,0.006478254972499468,0.007801300029687465,9.466675106763489,0.15530769230769229,6944.545734196309,1
CRI,Costa Rica,2010,2023,14,1.5699285714285713,-0.00308462673403634,0.005878387783861068,6.081715258678464,0.11361538461538462,13856.55754018344,1
CUB,Cuba,2010,2023,14,2.317785714285715,-0.026783635697455642,-0.02860310022279069,5.750714504971334,0.31246153846153846,7534.827776097546,0
CYP,Cyprus,2010,2023,14,5.842357142857141,-0.0183863899781569,-0.004798513995653414,4.358741033588073,0.25584615384615383,23078.728054785483,0
