year,scenario,sector,value
2023,STEPS,Total energy supply,38094.039
2024,STEPS,Total energy supply,37856.50575
2025,STEPS,Total energy supply,37618.972499999996
2026,STEPS,Total energy supply,37381.439249999996
2027,STEPS,Total energy supply,37143.905999999995
2028,STEPS,Total energy supply,36906.372749999995
2029,STEPS,Total energy supply,36668.839499999995
2030,STEPS,Total energy supply,36431.30625
2031,STEPS,Total energy supply,36193.773
2032,STEPS,Total energy supply,35956.23975
2033,STEPS,Total energy supply,35718.7065
2034,STEPS,Total energy supply,35481.17325
2035,STEPS,Total energy supply,35243.64
2036,STEPS,Total energy supply,34747.62
2037,STEPS,Total energy supply,34251.6
2038,STEPS,Total energy supply,33755.58
2039,STEPS,Total energy supply,33259.56
2040,STEPS,Total energy supply,32763.54
2041,STEPS,Total energy supply,32450.095
2042,STEPS,Total energy supply,32136.65
2043,STEPS,Total energy supply,31823.205
2044,STEPS,Total energy supply,31509.760000000002
2045,STEPS,Total energy supply,31196.315000000002
2046,STEPS,Total energy supply,30882.87
2047,STEPS,Total energy supply,30569.425
2048,STEPS,Total energy supply,30255.98
2049,STEPS,Total energy supply,29942.535
2050,STEPS,Total energy supply,29629.09
2035,NZE,Transport,5245.28
2036,NZE,Transport,4847.12
2037,NZE,Transport,4448.96
2038,NZE,Transport,4050.7999999999997
2039,NZE,Transport,3652.64
2040,NZE,Transport,3254.48
2041,NZE,Transport,3018.305
2042,NZE,Transport,2782.13
2043,NZE,Transport,2545.955
2044,NZE,Transport,2309.7799999999997
2045,NZE,Transport,2073.605
2046,NZE,Transport,1837.4299999999998
2047,NZE,Transport,1601.2549999999999
2048,NZE,Transport,1365.08
2049,NZE,Transport,1128.905
2050,NZE,Transport,892.73
2035,STEPS,Transport,8450.85
2036,STEPS,Transport,8400.94
2037,STEPS,Transport,8351.03
2038,STEPS,Transport,8301.119999999999
2039,STEPS,Transport,8251.21
2040,STEPS,Transport,8201.3
2041,STEPS,Transport,8180.021999999999
2042,STEPS,Transport,8158.744
2043,STEPS,Transport,8137.465999999999
2044,STEPS,Transport,8116.188
2045,STEPS,Transport,8094.91
2046,STEPS,Transport,8073.632
2047,STEPS,Transport,8052.354
2048,STEPS,Transport,8031.076
2049,STEPS,Transport,8009.798000000001
2050,STEPS,Transport,7988.52
