year,scenario,sector,emissions_mtco2,carbon_price_usd_per_tco2,carbon_cost_usd_bn,cumulative_carbon_cost_usd_bn
2043,NZE,Industry,2817.697,158.0,445.196126,5182.619016000001
2044,NZE,Industry,2479.7960000000003,164.0,406.6865440000001,5589.305560000001
2045,NZE,Industry,2141.895,170.0,364.12215,5953.42771
2046,NZE,Industry,1803.9940000000001,176.0,317.50294400000007,6270.930654000001
2047,NZE,Industry,1466.093,182.0,266.828926,6537.75958
2048,NZE,Industry,1128.192,188.0,212.100096,6749.859676
2049,NZE,Industry,790.2909999999999,194.0,153.31645399999996,6903.17613
2050,NZE,Industry,452.39,200.0,90.478,6993.65413
2035,STEPS,Industry,9250.42,55.0,508.7731,508.7731
2036,STEPS,Industry,9248.696,58.0,536.424368,1045.1974679999998
2037,STEPS,Industry,9246.972,61.0,564.065292,1609.26276
2038,STEPS,Industry,9245.248,64.0,591.695872,2200.958632
2039,STEPS,Industry,9243.524,67.0,619.316108,2820.27474
2040,STEPS,Industry,9241.8,70.0,646.926,3467.20074
2041,STEPS,Industry,9206.098,73.0,672.045154,4139.245894
2042,STEPS,Industry,9170.395999999999,76.0,696.9500959999999,4836.19599
2043,STEPS,Industry,9134.694,79.0,721.640826,5557.836816
2044,STEPS,Industry,9098.992,82.0,746.117344,6303.95416
2045,STEPS,Industry,9063.289999999999,85.0,770.37965,7074.33381
2046,STEPS,Industry,9027.588,88.0,794.427744,7868.761554
2047,STEPS,Industry,8991.886,91.0,818.261626,8687.02318
2048,STEPS,Industry,8956.184000000001,94.0,841.8812960000001,9528.904476
2049,STEPS,Industry,8920.482,97.0,865.286754,10394.19123
2050,STEPS,Industry,8884.78,100.0,888.478,11282.66923
2035,NZE,Other energy sector,404.43,110.0,44.4873,44.4873
2036,NZE,Other energy sector,350.244,116.0,40.628304,85.11560399999999
2037,NZE,Other energy sector,296.058,122.0,36.119076,121.23468
2038,NZE,Other energy sector,241.872,128.0,30.959616,152.194296
2039,NZE,Other energy sector,187.686,134.0,25.149924,177.34422
2040,NZE,Other energy sector,133.5,140.0,18.69,196.03422
2041,NZE,Other energy sector,109.487,146.0,15.985102,212.019322
2042,NZE,Other energy sector,85.474,152.0,12.992048,225.01137
2043,NZE,Other energy sector,61.461000000000006,158.0,9.710838000000003,234.722208
2044,NZE,Other energy sector,37.44800000000001,164.0,6.141472000000001,240.86368
2045,NZE,Other energy sector,13.43500000000001,170.0,2.2839500000000013,243.14763
