year,scenario,sector,value,cumulative_emissions
2048,STEPS,Power sector inputs,8909.028,148318.196
2049,STEPS,Power sector inputs,8678.839,156997.035
2050,STEPS,Power sector inputs,8448.65,165445.685
2020,NZE,Total energy supply,35158.23,35158.23
2021,NZE,Total energy supply,36866.863,72025.093
2022,NZE,Total energy supply,37527.773,109552.86600000001
2023,NZE,Total energy supply,38094.039,147646.905
2024,NZE,Total energy supply,36386.700749999996,184033.60575
2025,NZE,Total energy supply,34679.362499999996,218712.96824999998
2026,NZE,Total energy supply,32972.024249999995,251684.9925
2027,NZE,Total energy supply,31264.685999999998,282949.6785
2028,NZE,Total energy supply,29557.347749999997,312507.02625
2029,NZE,Total energy supply,27850.0095,340357.03575
2030,NZE,Total energy supply,26142.67125,366499.707
2031,NZE,Total energy supply,24435.333,390935.04
2032,NZE,Total energy supply,22727.994749999998,413663.03475
2033,NZE,Total energy supply,21020.656499999997,434683.69125
2034,NZE,Total energy supply,19313.31825,453997.0095
2035,NZE,Total energy supply,17605.98,471602.98949999997
2036,NZE,Total energy supply,15712.144,487315.1335
2037,NZE,Total energy supply,13818.307999999999,501133.44149999996
2038,NZE,Total energy supply,11924.472,513057.91349999997
2039,NZE,Total energy supply,10030.635999999999,523088.54949999996
2040,NZE,Total energy supply,8136.8,531225.3495
2041,NZE,Total energy supply,7323.12,538548.4695
2042,NZE,Total energy supply,6509.4400000000005,545057.9095
2043,NZE,Total energy supply,5695.76,550753.6695
2044,NZE,Total energy supply,4882.08,555635.7494999999
2045,NZE,Total energy supply,4068.3999999999996,559704.1494999999
2046,NZE,Total energy supply,3254.72,562958.8695
2047,NZE,Total energy supply,2441.04,565399.9095
2048,NZE,Total energy supply,1627.3599999999997,567027.2694999999
2049,NZE,Total energy supply,813.6799999999996,567840.9495
2050,NZE,Total energy supply,0.0,567840.9495
2020,STEPS,Total energy supply,35158.23,35158.23
2021,STEPS,Total energy supply,36866.863,72025.093
2022,STEPS,Total energy supply,37527.773,109552.86600000001
2023,STEPS,Total energy supply,38094.039,147646.905
2024,STEPS,Total energy supply,37856.50575,185503.41074999998
2025,STEPS,Total energy supply,37618.972499999996,223122.38324999998
2026,STEPS,Total energy supply,37381.439249999996,260503.82249999998
2027,STEPS,Total energy supply,37143.905999999995,297647.72849999997
2028,STEPS,Total energy supply,36906.372749999995,334554.10124999995
2029,STEPS,Total energy supply,36668.839499999995,371222.94074999995
2030,STEPS,Total energy supply,36431.30625,407654.247
2031,STEPS,Total energy supply,36193.773,443848.01999999996
2032,STEPS,Total energy supply,35956.23975,479804.25974999997
2033,STEPS,Total energy supply,35718.7065,515522.96625
2034,STEPS,Total energy supply,35481.17325,551004.1394999999
2035,STEPS,Total energy supply,35243.64,586247.7795
2036,STEPS,Total energy supply,34747.62,620995.3994999999
2037,STEPS,Total energy supply,34251.6,655246.9994999999
2038,STEPS,Total energy supply,33755.58,689002.5795
2039,STEPS,Total energy supply,33259.56,722262.1394999999
2040,STEPS,Total energy supply,32763.54,755025.6795
2041,STEPS,Total energy supply,32450.095,787475.7744999999
2042,STEPS,Total energy supply,32136.65,819612.4245
2043,STEPS,Total energy supply,31823.205,851435.6295
2044,STEPS,Total energy supply,31509.760000000002,882945.3894999999
2045,STEPS,Total energy supply,31196.315000000002,914141.7045
2046,STEPS,Total energy supply,30882.87,945024.5745
2047,STEPS,Total energy supply,30569.425,975593.9995
2048,STEPS,Total energy supply,30255.98,1005849.9795
2049,STEPS,Total energy supply,29942.535,1035792.5144999999
2050,STEPS,Total energy supply,29629.09,1065421.6045
2035,NZE,Transport,5245.28,5245.28
2036,NZE,Transport,4847.12,10092.4
2037,NZE,Transport,4448.96,14541.36
2038,NZE,Transport,4050.7999999999997,18592.16
2039,NZE,Transport,3652.64,22244.8
2040,NZE,Transport,3254.48,25499.28
2041,NZE,Transport,3018.305,28517.585
2042,NZE,Transport,2782.13,31299.715
2043,NZE,Transport,2545.955,33845.67
2044,NZE,Transport,2309.7799999999997,36155.45
2045,NZE,Transport,2073.605,38229.055
2046,NZE,Transport,1837.4299999999998,40066.485
2047,NZE,Transport,1601.2549999999999,41667.74
2048,NZE,Transport,1365.08,43032.82
2049,NZE,Transport,1128.905,44161.725
2050,NZE,Transport,892.73,45054.455
2035,STEPS,Transport,8450.85,8450.85
2036,STEPS,Transport,8400.94,16851.79
2037,STEPS,Transport,8351.03,25202.82
2038,STEPS,Transport,8301.119999999999,33503.94
2039,STEPS,Transport,8251.21,41755.15
2040,STEPS,Transport,8201.3,49956.45
2041,STEPS,Transport,8180.021999999999,58136.471999999994
2042,STEPS,Transport,8158.744,66295.216
2043,STEPS,Transport,8137.465999999999,74432.682
2044,STEPS,Transport,8116.188,82548.87
2045,STEPS,Transport,8094.91,90643.78
2046,STEPS,Transport,8073.632,98717.412
2047,STEPS,Transport,8052.354,106769.766
2048,STEPS,Transport,8031.076,114800.842
2049,STEPS,Transport,8009.798000000001,122810.64
2050,STEPS,Transport,7988.52,130799.16
