year,scenario,value,emissions_index,delta_abs,delta_pct,accel_abs
2050,NZE,17701.05,15.501441898875292,-43805.2,-71.22072960065033,8878.25
2050,STEPS,177893.04,85.27807468609467,-17077.839999999997,-8.759174703422378,-3445.2300000000105
